"","PARTY","educ","race","Voted_2020","gender","FT_DemParty","FT_RepParty","FT_Biden_pre","FT_Trump_pre","FT_Biden_post","FT_Trump_post","FT_Fauci","FT_fundamentalist","FT_Feminists","FT_Liberals","FT_laborUnions","FT_bigBusiness","FT_conservatives","FT_SCOTUS","FT_gaymen","FT_Congress","FT_Muslims","FT_Christians","FT_Jewish","FT_police","FT_Transpeople","FT_Scientist","FT_BLM","FT_journalists","FT_NATO","FT_UN","FT_NRA","FT_Socialist","FT_capitalist","FT_FBI","FT_ICE","FT_MeToo","FT_rural","FT_Parent","FT_WHO","FT_CDC"
"1","Republican","Bachelor's Degree","Hispanic",FALSE,"Male",0,85,0,100,0,100,50,40,65,30,30,70,85,100,85,40,85,85,100,85,70,100,0,40,20,15,50,0,60,50,100,40,100,40,0,15
"2","Independent","Some College","Asian",TRUE,"Female",0,50,0,0,15,15,50,50,100,0,70,50,15,50,100,15,90,100,100,90,90,70,70,15,50,50,50,40,50,50,50,60,60,100,50,50
"3","Democrat","High School","White",TRUE,"Female",60,0,65,0,85,0,100,0,75,75,75,0,0,25,100,0,100,30,100,40,100,100,80,75,80,75,0,75,10,50,0,80,75,80,80,80
"4","Republican","Some College","Asian",TRUE,"Male",50,70,70,15,100,60,100,70,70,70,70,85,70,85,70,100,70,70,70,100,70,85,50,85,60,100,NA,NA,NA,85,85,NA,NA,70,100,100
"5","Independent","Graduate Degree","Native American",TRUE,"Male",20,70,15,85,0,90,0,50,30,10,50,0,60,60,50,10,10,50,90,70,50,60,0,50,50,10,70,0,60,20,95,0,90,10,0,10
"6","Democrat","Some College","White",TRUE,"Female",85,15,85,0,100,0,85,50,60,70,50,40,40,60,70,85,50,85,100,70,70,85,70,85,50,50,15,60,30,70,40,50,85,60,70,70
"7","Republican","Some College","White",TRUE,"Female",15,75,50,75,0,70,0,60,60,0,50,50,60,70,60,50,60,60,60,60,70,85,0,60,70,85,85,0,70,79,70,70,70,70,70,85
"8","Republican","High School","White",FALSE,"Female",50,100,50,100,50,0,NA,NA,100,NA,0,0,NA,50,NA,50,NA,100,50,100,50,NA,NA,50,NA,NA,50,NA,NA,100,0,NA,50,100,50,100
"9","Independent","High School","White",FALSE,"Female",NA,NA,85,0,85,0,30,NA,50,30,30,50,50,50,50,50,0,50,50,60,50,60,60,50,NA,60,NA,NA,NA,60,60,NA,NA,60,NA,70
"10","Democrat","Some College","Hispanic",TRUE,"Male",60,50,85,0,70,30,50,50,50,50,50,15,50,50,50,40,50,50,50,70,50,50,50,50,NA,50,50,50,0,50,0,NA,50,70,6,70
"11","Democrat","High School","Hispanic",TRUE,"Female",100,0,100,0,100,0,85,50,0,50,50,50,50,40,0,50,50,85,50,50,0,85,0,85,NA,50,NA,0,NA,0,0,NA,NA,NA,NA,60
"12","Democrat","High School","White",TRUE,"Male",50,30,60,0,70,0,70,50,70,70,50,60,40,50,70,50,50,NA,50,70,40,100,50,40,50,NA,40,NA,NA,60,15,NA,70,70,50,70
"13","Republican","High School","White",TRUE,"Female",0,85,0,100,0,100,50,0,0,0,50,0,85,0,30,0,0,0,0,50,0,70,0,0,NA,NA,NA,NA,NA,50,NA,0,50,85,NA,50
"14","Democrat","Graduate Degree","Asian",FALSE,"Male",85,0,85,0,85,0,85,0,70,70,60,0,30,30,50,40,50,50,50,0,50,70,100,50,50,60,0,50,50,0,0,70,45,100,50,50
"15","Democrat","Some College","Black",FALSE,"Female",60,40,60,40,70,40,60,50,60,50,40,70,40,60,50,60,60,85,60,60,50,70,70,60,70,NA,40,60,NA,70,60,60,NA,70,70,85
"16","Republican","Some College","Hispanic",FALSE,"Male",0,100,0,100,0,100,30,60,30,0,50,50,85,60,50,40,15,85,50,85,50,70,0,15,50,30,100,NA,NA,40,60,NA,NA,40,30,40
"17","Democrat","Bachelor's Degree","White",TRUE,"Male",40,30,60,0,60,0,80,50,50,60,40,40,60,40,50,40,50,50,50,70,50,80,70,50,60,30,30,50,60,70,30,70,70,50,60,50
"18","Democrat","Bachelor's Degree","White",FALSE,"Male",85,16,85,0,85,0,100,15,70,85,60,40,30,70,85,60,85,85,85,85,85,85,85,85,100,85,0,40,60,85,50,85,85,85,85,85
"19","Democrat","Bachelor's Degree","White",TRUE,"Female",85,0,85,15,85,15,100,30,60,60,40,50,50,70,70,40,50,70,60,70,50,85,60,85,70,60,0,40,40,85,40,85,40,60,50,70
"20","Democrat","High School","White",TRUE,"Female",85,30,70,15,85,0,90,70,85,70,70,60,70,90,85,50,90,100,100,85,85,100,70,70,95,95,15,60,50,50,30,70,85,40,95,95
"21","Republican","Graduate Degree","Hispanic",FALSE,"Male",0,100,0,95,0,95,10,75,20,0,30,85,100,80,85,60,50,100,50,100,10,80,0,20,50,40,100,30,100,60,35,0,100,100,10,0
"22","Democrat","Less than High School","Hispanic",TRUE,"Female",70,15,75,0,80,0,30,50,70,70,75,50,50,40,75,70,70,70,70,60,70,NA,100,60,50,100,0,60,15,50,30,100,70,15,65,65
"23","Democrat","Bachelor's Degree","White",TRUE,"Male",25,0,40,5,70,0,85,0,50,35,75,15,10,25,50,15,55,50,50,15,50,80,50,70,50,25,0,60,20,25,0,50,50,80,60,80
"24","Republican","Graduate Degree","White",TRUE,"Male",30,85,0,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,NA,50,50,50,NA,NA,NA,NA,50,50
"25","Democrat","Less than High School","Hispanic",FALSE,"Female",60,15,0,15,50,0,50,50,60,50,50,30,65,70,30,50,50,50,50,70,30,70,50,50,NA,NA,NA,50,40,100,15,50,50,60,NA,NA
"26","Democrat","Bachelor's Degree","White",TRUE,"Male",80,15,85,0,85,0,75,45,80,80,85,45,45,60,60,60,65,65,60,65,60,75,75,90,75,80,45,50,50,50,40,70,60,90,80,60
"27","Republican","Less than High School","White",TRUE,"Female",20,100,0,100,15,85,85,0,50,40,70,60,85,85,30,70,0,100,85,85,30,85,100,70,100,100,85,0,0,100,85,100,85,100,70,100
"28","Republican","Bachelor's Degree","White",TRUE,"Male",40,50,50,60,30,50,50,50,50,50,50,50,50,50,50,15,50,60,50,60,50,60,50,40,50,50,50,50,50,50,50,50,60,50,50,50
"29","Republican","Graduate Degree","White",TRUE,"Male",60,0,70,NA,75,0,100,30,70,55,50,30,30,40,50,70,40,50,50,70,45,90,90,90,85,55,15,45,45,90,35,65,85,70,70,85
"30","Democrat","High School","Hispanic",TRUE,"Male",60,30,70,0,85,0,50,50,15,50,50,50,85,50,100,70,70,85,85,40,100,70,85,60,50,50,50,50,50,50,50,50,50,70,50,50
